month,no_of_rainy_days,total_rainfall,mean_temp,mean_re_humid,year
09,15,118.9,28.3,73.9,2016
10,16,181.0,28.3,72.0,2016
11,20,290.2,27.4,77.6,2016
12,23,292.6,27.4,72.8,2016
01,21,197.6,26.9,84.8,2017
02,15,158.4,26.9,83.2,2017
03,11,136.2,27.4,82.5,2017
04,21,208.6,27.8,83.5,2017
05,15,190.0,28.5,82.8,2017
06,10,106.0,28.5,80.2,2017
07,9,79.6,28.3,79.6,2017
08,18,84.2,28.1,79.9,2017
09,19,124.4,28.0,81.0,2017
10,18,120.8,27.9,82.5,2017
11,24,268.6,27.1,86.3,2017
12,23,371.2,27.0,85.2,2017
01,25,287.0,26.1,86.6,2018
02,5,14.8,27.2,77.2,2018
03,10,44.6,28.0,78.4,2018
04,14,61.2,28.5,78.5,2018
05,19,132.2,28.7,79.0,2018
06,17,182.6,28.4,79.3,2018
07,10,143.2,28.5,77.7,2018
08,11,121.6,28.5,77.0,2018
09,13,144.4,28.0,77.1,2018
10,18,234.4,27.9,79.7,2018
11,27,169.6,27.3,83.2,2018
12,19,172.6,27.6,81.5,2018
01,9,63.6,28.0,75.6,2019
02,5,31.6,28.2,74.1,2019
03,6,72.2,28.7,72.3,2019
04,9,174.8,28.6,77.6,2019
05,13,69.0,29.3,79.2,2019
06,16,173.8,28.4,79.5,2019
07,8,12.2,29.0,75.2,2019
08,6,11.8,29.1,72.1,2019
09,4,22.8,29.0,73.0,2019
10,15,176.8,28.1,78.1,2019
11,15,137.4,28.0,79.2,2019
12,14,421.5,26.7,83.9,2019
01,6,88.4,27.7,77.9,2020
02,8,65.0,27.9,76.0,2020
03,8,108.8,28.6,75.2,2020
04,12,188.0,28.9,76.4,2020
05,16,255.6,28.9,79.1,2020
06,21,233.8,28.1,80.2,2020
07,22,140.8,27.9,78.2,2020
08,12,103.4,28.3,76.8,2020
09,18,150.2,27.5,79.0,2020
10,16,78.8,28.3,75.4,2020
11,19,220.6,27.2,81.7,2020
12,20,253.2,27.2,81.1,2020
01,17,692.8,26.0,82.6,2021
02,2,1.0,27.3,73.8,2021
03,14,182.4,27.9,76.6,2021
04,14,290.4,28.2,77.4,2021
05,13,245.8,28.7,79.3,2021
06,20,93.4,28.5,77.8,2021
07,12,195.8,28.6,76.5,2021
08,24,293.6,27.6,80.4,2021
09,14,205.4,28.3,77.3,2021
10,14,177.0,28.5,78.3,2021
11,23,312.4,27.6,81.7,2021
12,15,119.6,27.7,79.7,2021
01,9,99.8,27.4,77.4,2022
02,16,175.0,27.3,80.3,2022
03,21,163.2,28.1,79.2,2022
04,18,239.6,28.1,80.0,2022
05,12,102.0,29.2,76.5,2022
06,17,211.8,27.9,79.1,2022
07,16,145.2,28.6,76.8,2022
08,15,141.4,28.1,77.4,2022
